id,brand,title,description,price,priceCurrency
812649,,"3M - Gold Privacy Filter 12.5\""\"" 16:","3M Gold Privacy Filter 12.5\""\"" 16: (GF125W9B) - Type: Skærmbeskytter",493.94,DKK
29572994,,Daddario 11-52 NYXL Medium Top Heavy Bottom Nickel Wound Electric Strings,"D’Addario NYXL guitar strings will bend farther, sing louder, and stay in tune better than any string you’ve played before. Envisioned, perfected, and manufactured by D’Addario in New York, this newly engineered, break-resistant, high-carbon steel core and plain steel alloy delivers a whole new level of freedom, confid",12.99,USD
69928941,Park Tool,Park Tool OUT CHAINE PARK HG CT-5,,24.99,CAD
47495037,RAM,"UNPKD. RAM 2 7/16\"" DIA.BASE WITH 1\"" BALL",,11.00,EUR
34299314,,"Epson T636A00 Orange 700ml Ultrachrome HDR Ink Cartridge for SP7900, 9900",,369.99,CAD
88678398,,Seagate Lacie 4TB 2.5 Mobile Portable USB 3.0 Moon Silver,Seagate Lacie 4TB 2.5 Mobile Portable USB 3.0 Moon Silver,"R2 809,98 incl tax",ZAR
25001640,,Garmin Watch Vivoactive 3 Slate,Garmin%20Watch%20Vivoactive%203%20Slate%20%23bezel-fixed%20%23bracelet-strap-rubber%20%23brand-garmin%20%23case-depth-11-7mm%20%23case-material-plastic%20%23case-width-43-4mm%20%23classic%20%23delivery-timescale-3-5-days%20%23description-done%20%23dial-colour-lcd%20%23feature-android-compatible%20%23feature-bluetooth%20%23feature-cycling%20%23feature-digital-time%20%23feature-fitness-tracker%20%23feature-golf%20%23feature-gps%20%23feature-heart-rate-monitor%20%23feature-ios-compatible%20%23featu,219.00,GBP
32298064,,Seagate Backup Plusexternal hard drive 1000 GB Black,"The Good Things Add UpThink about it. Photos, movies, documents. Phones, tablets, laptops. Your digital world is made of many parts that add up fast. Because we believe that managing all these files, across all these devices, should be easy and not a burden, we designed a family of premium portable hard drives to help you balance things out.High Capacity. Stellar StyleRefined and understated. Cozy and textured. Backup Plus comes in an array of styles made to compliment your signature look. And whether you’re storing yearly tax documents or ever-growing collections of high-res photos, capacity won’t be an issue.USB-C, USB 3.0 ReadyFrom the latest USB-C laptops to legacy USB 3.0/2.0 computers, our three external Backup Plus hard drives offer various interface compatibilities so that you can choose what’s right for you. And they all work with Windows® and Mac® out of the box.Advanced Data SecurityBackup Plus hard drives go above and beyond to help keep your file folders secure with time-tested reliability and password protection through hardware encryption — the same standard used by the U.S. government and global intelligence agencies.Convenient BackupMaybe you’re diligent about backup. Maybe you’re a pro at putting it off until tomorrow. Whatever your style, Backup Plus portable drives offer an array of easy-to-use software tools.Back up on demand with one clickSchedule automatic hourly, daily, weekly, or monthly backups.Mirror folders for seamless file management.Edit Photos with Adobe Creative CloudEasily edit, organise, store, and share your full-resolution photos from anywhere with a two-month complimentary membership to Adobe Creative Cloud Photography Plan.1 Edit photos with the powerful and easy-to-use interface of Lightroom CC and combine images into rich, multilayered artwork with Photoshop CC. * PLEASE NOTE ALL PRICES QUOTED ARE EXCLUDING VAT",67,GBP
64416511,OKI,Original OKI 44973533 Toner Yellow,OKI C 301 DN OKI C 321 DN OKI MC 332 DN OKI MC 340 Serie OKI MC 342 DN OKI MC 342 DNW,85.90,EUR
24003496,,AMD Ryzen 3 3300X AM4 Processor,"Ryzen 3 3300X, 8 Threads, 3.8Ghz Clock Speed, Socket AM4",,
