id1,id2
8169954,29572994
34299314,96630956
32298064,66637713
64416511,64449227
8565641,39882549
46725956,74832196
41483632,79907043
21160220,67603870
1123391,50522768
57971400,84981584
13519118,32904204
8169954,74103125
25038349,67487580
45106261,52702047
3658626,45955817
30928982,35057148
24284489,89323553
73737124,81320088
63989540,96052167
22792254,79616204
10298203,45136761
46322463,60527373
36122745,85611288
42099570,43398329
209977,61993023
101843,45890903
1658295,11863503
16542933,68542432
1803176,62798167
37471512,80922548
23756561,32343306
43876521,92817369
17060014,88063842
76454494,77096381
17746757,93196481
66496566,91401150
50108896,91966242
60349840,96940391
12225569,37728130
15914041,28472273
37599870,53039752
40249109,71416766
83211359,98066391
13760497,23084884
4525312,63629379
30570173,55692393
31552844,48076409
24534092,80900271
45106261,86273629
50151623,58767400
16091886,75227764
47673777,58914618
28502615,89031582
35542776,77268282
14623466,90100158
71974904,78385760
57843284,62832612
11291424,83306222
3775981,10373250
30586587,48509935
35916899,92282447
37827747,75971155
4353010,50258288
1866337,75326515
12572716,73329511
28545474,88344235
67354096,86952576
58093698,74435514
25640178,61898346
11619753,81364706
73773760,92331262
18065394,23723988
35542776,44172381
58767400,94881481
12958148,42097200
62384294,78989521
27673843,36413421
62270315,82273873
71241369,74560491
5624480,18852131
21922988,48755282
8451760,39951528
16677986,89102505
92614,24486392
78653955,89193804
52012211,70981106
17060014,33839918
22989403,43520246
22974178,73779665
37115169,58767400
7764515,60573676
92614,74516430
4214629,18854966
1773920,50492036
6880786,54834355
20778381,49536402
31051618,34961936
8586468,83027890
28472273,35422876
63461248,76354612
11863503,19638507
12346287,98124675
16121684,66310001
32650570,62164591
74566933,86387400
10999896,18584546
25536211,83268273
45963053,63015912
112804,98066391
23220092,25579913
89163301,91401150
42030416,56666942
66286382,78037876
52026673,70220265
70601468,81902222
33319876,69434371
5303451,46440383
81364706,98273310
4353010,49586500
30725212,59398534
51766820,88109260
23981398,41493099
14762080,74942678
7368288,54523887
31472619,84977888
15981904,84686359
69434371,91359064
16268245,74702654
42163043,51145038
80718478,85280275
81301109,87430670
100633,32663463
27988700,47751906
87331567,88033708
17116014,73248952
13167053,47043649
52702047,86273629
28545474,55692393
3846927,29890008
57407639,88983039
70037519,98583501
24734090,66964006
41730178,48060118
3272462,73779665
68546388,87705801
43274976,50426879
19949293,75154223
74804936,98294313
63461248,98533095
50492036,95267942
8281130,43405231
15501839,17366003
23709298,36122745
62842391,91975856
24147862,27756093
37882907,43190232
15981904,83644726
48850017,59746386
24424619,75253871
15159780,98735444
66288519,77253236
7666864,54811188
61268150,79824339
66603804,98787529
64317284,83239139
40282265,73384102
30141859,85385063
2679513,2853501
5000701,66431212
4384159,8766685
42060474,66638500
1821257,37481663
12572716,71659880
25187069,89283725
64496106,74566933
101843,37587100
38168138,71974904
34329330,60716674
54797321,95482036
26843670,36026399
27154112,48850017
41208406,50258288
53195656,74320193
7374097,89102505
465873,75248709
55148659,90257825
26937308,42077846
21977616,62124425
43697017,91975856
73779665,81209769
11026567,70708462
62944920,98711610
15179398,67487580
84686359,90790780
1866337,52432804
23605781,69927371
15297472,87547881
15501839,69475906
12422722,24534092
15278869,18208724
2380670,18854966
36826110,51145038
16333988,22231677
34520225,81102832
26843670,27549858
5894393,98294313
24531337,79475479
10324335,84939279
3846927,69030235
47814705,96846981
12573948,76654728
10096677,52307548
11178569,69366044
45912196,48021891
938960,25052593
68780120,92200192
46536228,79824339
42417991,43398329
57879532,85032533
101843,23777098
7108592,65983637
15100314,23343715
48750125,74608200
8647289,74525688
24381109,57530241
11619753,18854966
12346287,79894301
69978193,85212887
45106261,94966401
18065394,74702654
39882549,93007560
32639101,71241369
49799851,76354612
9172746,41440629
33635407,68616904
67354096,90819553
9640108,53514782
74335783,89102505
25257094,31472619
4739985,48509935
27549858,91282221
41511999,77310659
9839498,87630579
24883639,30316642
35443269,87390509
25440891,61354254
18649931,43298286
151025,7066688
7424707,52466241
6798938,25340730
7108592,66684435
66449809,86487942
4622555,62628948
7374097,80049956
9970378,54727096
35469349,75154223
71288132,74608200
29201808,42573522
112804,67326814
76559136,89031582
8733542,44698167
25340730,88678398
77096381,98735444
61868905,69787972
35515191,57244273
88458047,89292552
28636625,69876886
36208560,36790327
80718478,89074138
75323446,88063842
10373250,86407819
2745185,25037677
39044152,47877780
59037977,95450099
9575228,70331081
60941154,83169821
33240258,86952576
20904390,55640876
24990804,98793471
25481960,90518163
17390600,22967652
7368288,43989775
8565641,63431675
27177785,47264359
18302810,26878091
56902092,78989521
14019035,58093687
36571603,66637713
4436119,88369562
28455108,88063842
5802175,66286382
13170637,93050425
27429904,28984097
82952675,83027890
26036861,43878962
9965811,20287936
151025,81272563
42030416,62446651
21735494,88409940
66630103,80827080
27367265,76657775
1866337,71426226
3583364,75165478
41456801,76522041
7462944,57879532
74927564,87005977
34471783,47341227
25440891,98358005
6798938,18147177
45277958,76154796
47495037,93146764
80443399,98484335
37115169,94881481
52386461,55598069
46705474,53039752
45465228,57983184
77477545,91646112
20217586,41529972
7066688,80194882
35888654,42573522
37471512,69927371
13887167,82696649
12541827,83274921
51902527,58091243
16268245,23723988
4537109,63172884
67265186,87430670
18854966,66684435
72936491,96113297
35154139,88063842
30336976,94078670
16542933,27571796
81187187,88460811
12139984,76454494
41959180,69398766
13332758,33240258
29189535,72839338
40990575,88064882
35542776,89920013
21865403,51909448
21925647,97438887
10024848,18165813
21223802,28990885
51909448,91646112
62241884,85972205
65557160,76664455
12496901,79539099
62164591,81482175
15461445,64745197
56475885,63804654
43878962,74537856
27463855,93444928
83644726,89074138
64888074,75253871
383601,25037677
41440629,56925444
33626697,80170782
33240258,88815248
10141837,80768725
30633820,78989521
18302810,74399700
13692504,74608200
13696312,79605689
7873500,30649194
57937744,59459274
21598924,78640549
